[Running] python -u "c:\Users\lukas\OneDrive\Documents\MAIN AI PROJECT\Connect4-Python\new\main.py"
pygame 2.5.2 (SDL 2.28.3, Python 3.12.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
After 223000 games - Mr.Q: 78.7%, Random: 20.5%, Draws: 0.8% , epsilon 0.13163767538943766
After 224000 games - Mr.Q: 81.6%, Random: 17.5%, Draws: 0.9% , epsilon 0.13062769593219004
After 225000 games - Mr.Q: 81.8%, Random: 17.6%, Draws: 0.6% , epsilon 0.12969107257647505
After 226000 games - Mr.Q: 81.6%, Random: 18.1%, Draws: 0.3% , epsilon 0.12873863372993044
After 227000 games - Mr.Q: 80.2%, Random: 18.9%, Draws: 0.9% , epsilon 0.12779804573917833
After 228000 games - Mr.Q: 80.1%, Random: 18.2%, Draws: 1.7% , epsilon 0.12682475433961982
After 229000 games - Mr.Q: 79.7%, Random: 19.0%, Draws: 1.3% , epsilon 0.12589777180747036
After 230000 games - Mr.Q: 79.9%, Random: 19.2%, Draws: 0.9% , epsilon 0.12496294321276472
After 231000 games - Mr.Q: 80.7%, Random: 18.7%, Draws: 0.6% , epsilon 0.12403964538412526
After 232000 games - Mr.Q: 81.2%, Random: 18.2%, Draws: 0.6% , epsilon 0.12316700908212634
After 233000 games - Mr.Q: 76.9%, Random: 21.8%, Draws: 1.3% , epsilon 0.1222377877950405
After 234000 games - Mr.Q: 80.4%, Random: 18.8%, Draws: 0.8% , epsilon 0.12133850774821502
After 235000 games - Mr.Q: 81.3%, Random: 18.1%, Draws: 0.6% , epsilon 0.12044969786344324
After 236000 games - Mr.Q: 82.0%, Random: 17.6%, Draws: 0.4% , epsilon 0.11956680071421667
After 237000 games - Mr.Q: 80.5%, Random: 18.5%, Draws: 1.0% , epsilon 0.11870699303148573
After 238000 games - Mr.Q: 80.7%, Random: 18.6%, Draws: 0.7% , epsilon 0.11782614724854053
After 239000 games - Mr.Q: 82.4%, Random: 16.8%, Draws: 0.8% , epsilon 0.11697827175280304
After 240000 games - Mr.Q: 81.6%, Random: 17.4%, Draws: 1.0% , epsilon 0.11611768496047824
After 241000 games - Mr.Q: 81.3%, Random: 17.9%, Draws: 0.8% , epsilon 0.11524556488478875
After 242000 games - Mr.Q: 80.8%, Random: 18.7%, Draws: 0.5% , epsilon 0.11443182090497439
After 243000 games - Mr.Q: 80.8%, Random: 18.7%, Draws: 0.5% , epsilon 0.11358905914838303
After 244000 games - Mr.Q: 79.3%, Random: 19.6%, Draws: 1.1% , epsilon 0.11275306788567611
After 245000 games - Mr.Q: 80.0%, Random: 19.2%, Draws: 0.8% , epsilon 0.11192658708938791
