
After 196000 games - Mr.Q: 54.2%, Random: 45.8%, Draws: 0.0% , epsilon 0.30819160707175586
After 197000 games - Mr.Q: 54.2%, Random: 45.8%, Draws: 0.0% , epsilon 0.3062518146637937
After 198000 games - Mr.Q: 54.9%, Random: 45.1%, Draws: 0.0% , epsilon 0.3043431002226863
After 199000 games - Mr.Q: 55.3%, Random: 44.6%, Draws: 0.1% , epsilon 0.30248136766554773
After 200000 games - Mr.Q: 51.4%, Random: 48.6%, Draws: 0.0% , epsilon 0.30061779624840435
After 201000 games - Mr.Q: 54.0%, Random: 46.0%, Draws: 0.0% , epsilon 0.2987459882986305
After 202000 games - Mr.Q: 54.8%, Random: 45.2%, Draws: 0.0% , epsilon 0.29690543035260897
After 203000 games - Mr.Q: 55.5%, Random: 44.5%, Draws: 0.0% , epsilon 0.295090966171807
After 204000 games - Mr.Q: 57.7%, Random: 42.3%, Draws: 0.0% , epsilon 0.29330665496304953
After 205000 games - Mr.Q: 59.6%, Random: 40.4%, Draws: 0.0% , epsilon 0.29153721435061924
After 206000 games - Mr.Q: 58.0%, Random: 42.0%, Draws: 0.0% , epsilon 0.28977323233247937
After 207000 games - Mr.Q: 59.4%, Random: 40.6%, Draws: 0.0% , epsilon 0.2880495911007927
After 208000 games - Mr.Q: 56.8%, Random: 43.2%, Draws: 0.0% , epsilon 0.286246879499067
After 209000 games - Mr.Q: 56.5%, Random: 43.5%, Draws: 0.0% , epsilon 0.28450580297116135
After 210000 games - Mr.Q: 58.3%, Random: 41.6%, Draws: 0.1% , epsilon 0.2827934146273146
After 211000 games - Mr.Q: 58.9%, Random: 41.1%, Draws: 0.0% , epsilon 0.28108542997646385
After 212000 games - Mr.Q: 57.6%, Random: 42.3%, Draws: 0.1% , epsilon 0.27933803440345867
After 213000 games - Mr.Q: 60.5%, Random: 39.5%, Draws: 0.0% , epsilon 0.2776392580795688
After 214000 games - Mr.Q: 60.7%, Random: 39.3%, Draws: 0.0% , epsilon 0.2759709579095318
After 215000 games - Mr.Q: 58.8%, Random: 41.2%, Draws: 0.0% , epsilon 0.274286349583443
After 216000 games - Mr.Q: 58.4%, Random: 41.6%, Draws: 0.0% , epsilon 0.2726330165492554
After 217000 games - Mr.Q: 59.3%, Random: 40.6%, Draws: 0.1% , epsilon 0.2709422303512351
After 218000 games - Mr.Q: 60.8%, Random: 39.2%, Draws: 0.0% , epsilon 0.26925896802327276
After 219000 games - Mr.Q: 59.8%, Random: 40.2%, Draws: 0.0% , epsilon 0.26759231772763153
After 220000 games - Mr.Q: 60.4%, Random: 39.6%, Draws: 0.0% , epsilon 0.2659282715735646
After 221000 games - Mr.Q: 61.8%, Random: 38.1%, Draws: 0.1% , epsilon 0.26428223751315627
After 222000 games - Mr.Q: 60.7%, Random: 39.2%, Draws: 0.1% , epsilon 0.2626582113796675
After 223000 games - Mr.Q: 62.8%, Random: 37.2%, Draws: 0.0% , epsilon 0.2610598280867992
After 224000 games - Mr.Q: 61.7%, Random: 38.2%, Draws: 0.1% , epsilon 0.25948051274894707
After 225000 games - Mr.Q: 61.9%, Random: 38.1%, Draws: 0.0% , epsilon 0.25794402433400954
After 226000 games - Mr.Q: 58.9%, Random: 41.1%, Draws: 0.0% , epsilon 0.25633459384777824
After 227000 games - Mr.Q: 61.5%, Random: 38.4%, Draws: 0.1% , epsilon 0.2547461591876591
After 228000 games - Mr.Q: 63.0%, Random: 37.0%, Draws: 0.0% , epsilon 0.25321136941813793
After 229000 games - Mr.Q: 65.1%, Random: 34.9%, Draws: 0.0% , epsilon 0.25168381294099235
